dataset,model,coverage_vs_gold,valid_rows,mae,accuracy,macro_f1,qwk_5,mae_5,acc_5,macro_f1_5,macro_f1_3,acc_3
plt_bnp,Claude Sonnet 5,1.0,17,0.4118,0.5882,0.4667,0.6316,0.4118,0.5882,0.4667,0.4722,0.5882
plt_bnp,Qwen 2.5 7b,0.9412,16,0.875,0.4375,0.2655,0.0986,0.875,0.4375,0.2655,0.2997,0.4375
plt_bnp,GPT-4o,0.9412,16,0.75,0.5,0.2596,-0.1818,0.75,0.5,0.2596,0.3772,0.5
plt_jamaat,Gemini 3.1 Pro,1.0,13,0.0769,0.9231,0.5238,0.8,0.0769,0.9231,0.5238,0.873,0.9231
plt_jamaat,GPT-4o,1.0,13,0.3846,0.6154,0.33,0.6154,0.3846,0.6154,0.33,0.65,0.6923
plt_jamaat,Claude Sonnet 5,1.0,13,0.6154,0.4615,0.2743,0.4298,0.6154,0.4615,0.2743,0.5143,0.5385
plt_jamaat,Qwen 2.5 7b,0.6154,8,1.25,0.125,0.05,0.0725,1.25,0.125,0.05,0.1667,0.25
plt_letf,Gemini 3.1 Pro,1.0,9,0.1111,0.8889,0.5378,0.8889,0.1111,0.8889,0.5378,0.8963,0.8889
plt_letf,Claude Sonnet 5,1.0,9,0.6667,0.3333,0.24,0.7245,0.6667,0.3333,0.24,0.6413,0.6667
plt_letf,Qwen 2.5 7b,0.8889,8,0.875,0.125,0.0667,0.6667,0.875,0.125,0.0667,0.4571,0.5
plt_letf,GPT-4o,1.0,9,0.5556,0.5556,0.3111,0.5039,0.5556,0.5556,0.3111,0.7407,0.7778
